label,text
文化,མི་དམངས་ དྲ་བ འི་ འཕྲིན། ཟླ་ 12 ཚེས་ 14 ནས་ ཚེས་ 15 ཉིན་ བར། སི་ཁྲོན་ ཞིང་ཆེན་ དཀར་མཛེས་ བོད་རིགས་ རང་སྐྱོང་ཁུལ་ ཨུ་དང་ཁུལ་ སྲིད་གཞུང་ གིས་ གཙོ་གཉེར་བྱས་ ཤིང་ །ཁུལ་ ཨུའི་ དྲིལ་བསྒྲགས་པུའུ་ དང་ ཁུལ་ རིག་གནས་ ལུས་རྩལ་ རྒྱང་བསྒྲགས་ གསར་འགྱུར་ དཔེ་སྐྲུན་ ཅུས།ཁུལ་ བོད་ཡིག་ ཡིག་གཟུགས་ མཐུན་ཚོགས་ བཅས་ ཀྱིས་ སྒྲུབ་འགན་ཁུར་བ འི་ དཀར་མཛེས་ཁུལ་ གྱི་ སྐབས་ དང་པོ འི་ བོད་ཡིག་ ཡིག་གཟུགས་ འགྲན་བསྡུར་ ཆེན་མོ་ དེ་ དུང་དཀར་ ལུང་པ ར་ སྤེལ་ བ་ རེད།
文化,ཐེངས་ འདི འི་ འགྲན་བསྡུར་ ཐོག་ སི་ཁྲོན་ ཞིང་ཆེན་ བོད་ཡིག་ སློབ་གྲྭ་ དང་ དཀར་མཛེས་ མི་རིགས་ སློབ་འབྲིང་ ། ཏྲེ་ ཧོར་ བཀྲ་ཤིས་ དར་རྒྱས་ དགོན། རྒྱལ་བསྟན་ ཕན་བདེ་ སྨན་ཁང་ སོགས་ ཀྱི་ སློབ་མ་ དང་ གྲྭ་བཙུན་ གཙོས་པ འི་ བྲིས་ ལ་ དགའ་ཞེན་ཅན་ ཚོ འི་ དབུ་ཅན་ དང་ དབུ་མེད་ ཀྱི་ བྲིས་སྣ་ མི་འདྲ་ བ འི་ བརྩམས་ཆོས་ 300 ལྷག་འདུས་ ཡོད།དཀར་ མཛེས་ཁུལ་ བོད་ ཀྱི་ ཡིག་གཟུགས་ མཐུན་ཚོགས་ ཀྱི་ བྲིས་ མཁན་ དཔྱད་འདེམས་པ་ ཚོ ས་ ཞིབ་བརྟག་ དང་ དཔྱད་བརྗོད་ བྱས་ མཐར་བྲིས་ ཀྱི་ ཨང་དང་པོ འི་ བྱ་དགའ་ 2 དང་ ། གཉིས་པ་ 6 ། གསུམ་པ་ 8 བཅས་ དང་ ། དེ་ བཞིན་ སྐུལ་སློང་ བྱ་དགའ་ བཅས་ ཁྱོན་བསྡོམས་ བྲིས་ གཟུགས་ 150 ལྷག་ ལ་ དཔྱད་བདམས་བྱས་ པ་ རེད།
文化,འགྲན་བསྡུར་ ཐོག་ཁུལ་ བོད་ཡིག་ ཡིག་གཟུགས་ མཐུན་ཚོགས་ ཀྱི་ བྲིས་ མཁན་ རྣམས་ ཀྱིས་ ཡུལ་དངོས་ སུ་ བྲིས་གཟུགས་ ཀྱི་ འགྱུར་རྩལ་ མངོན་ པ་ དང་ །བྲིས་ ཀྱི་ བརྩམས་ཆོས་ དག་ ཀྱང་ འགྲེམ་སྟོན་བྱས་ པ་ རེད། དུང་དཀར་ལུང་པ འི་ སློབ་གྲྭ་ ཆུང་འབྲིང་ གི་ སློབ་མ་ དང་ ཡུལ་མི་ རྣམས་ ཀྱང་ འགྲེམ་སྟོན་ཁང་ དུ་ ཕྱིན་ ཏེ་ བོད་ཡིག་ ཡིག་གཟུགས་ འབྲི་རྩལ་ ལ་ རྒྱུས་ལོན་ དང་ ལྟ་སྐོར་བྱས་ པ་ རེད།
文化,མི་དམངས་ དྲ་བ འི་ འཕྲིན། གསར་འགོད་པ ས་ མཚོ་སྔོན་ ཞིང་ཆེན་ གསོ་རིག་ སློབ་གླིང་ ནས་ ཤེས་རྟོགས་ བྱུང་ བ་ ལྟར་ ན།ལོ་ མང་པོ་ འབད་འཐབ་བྱས་ པ་ བརྒྱུད་ སློབ་གླིང་ དེ འི་ ཚན་ཞིབ་ ཚོགས་པ ས་ དེང་རབས་ སྨན་སྟོབས་ རིག་པ འི་ བྱེད་ཐབས་ ལ་ བརྟེན་ ནས་ བོད་སྨན་ དང་ བོད་ལུགས་ གསོ་རིག་ ཁྲོད་ ཀྱི་ ལྕགས་རིགས་ ལྗིད་གྲས་ དངུལ་ཆུ འི་ སྨན་ནུས་ ཐོན་ལུགས་ ཐེངས་ དང་པོ ར་ ར་སྤྲོད་ ཐུབ་ ཡོད་ པ་ རེད།
文化,མཚོ་སྔོན་ སློབ་ཆེན་ གསོ་རིག་ སློབ་གླིང་ སྨན་རྫས་ རིག་པ འི་ སྡེ་ཚན་ གྱི་ དགེ་རྒན་ ཆེ་མོ་བ་ ལི་ཤང་དབྱང་ གིས་ ས་མཐོ འི་ རང་བཞིན་ གྱི་ ནད་གཞི་ ཁ་ཤས་ ལ་ ཧ་ཅང་ ཕན་པ འི་ བཙོ་ཐལ་ སོགས་ སྲོལ་རྒྱུན་ བོད་སྨན་ རྒྱུ་ཆ འི་ ཁྲོད་ ཀྱི་ རྒྱུ་ཆ་ གཙོ་བོ་ ནི་ ལྕགས་རིགས་ ལྗིད་གྲས་ དངུལ་ཆུ་ ཡིན་ མོད། འོན་ཀྱང་ དུས་ཡུན་ རིང་པོ ར་ དེ་དག་ ཁྲོད་ ཀྱི་ དངུལ་ཆུ འི་ སྨན་ནུས་ ཐོན་ལུགས་ ལ་ ཚོད་ལྟ འི་ ཐོག་ ནས་ ར་སྤྲོད་བྱེད་ མ་ ཐུབ་ སྟབས་ དེ་ འདུལ་སྦྱོང་ དང་ སྡེབ་སྤྱོད་བྱེད་ པ འི་ ཐད་ ཀྱི་ ཚན་རིག་ རང་བཞིན་ ལ་ ཐེ་ཚོམ་ ཟ་ གི་ ཡོད་ ཅེས་ ངོ་སྤྲོད་ བྱས་ པ་ རེད།
文化,ཀྲུང་གོའི་ སྲོལ་རྒྱུན་ གསོ་རིག་ གི་ ཡན་ལག་ ཅིག་ ཡིན་ པ འི་ བོད་ལུགས་ གསོ་རིག་ ནི་ མཚོ་བོད་ ས་མཐོ་ ནས་ དར་ པ་ དང་ ། ལོ་རྒྱུས་ རྒྱུན་རིང་ ལྡན་ པ་ མ་ཟད་ གཞུང་ལུགས་ རང་རྐྱ་ ཕེར་ བ་ ཞིག་ ཀྱང་ ཡིན། 2006 ལོ ར་ བོད་སྨན་ དང་ བོད་ལུགས་ གསོ་རིག་ འདི་ཉིད་ རང་རྒྱལ་ གྱི་ རྒྱལ་ཁབ་ རིམ་པ འི་ མངོན་མིན་ རིག་གནས་ ཤུལ་བཞག་ ཁག་ དང་པོ འི་ ནང་ ཚུད་ པ་ དང་ ། 2015 ལོ ར་ འཛམ་གླིང་ ཀྲུང་ལུགས་ གསོ་རིག་ སྨན་རྫས་ རིག་གཞུང་ ལྷན་ཚོགས་ མཉམ་འབྲེལ་ ལྷན་ཚོགས་ བོད་སྨན་ དང་ བོད་ལུགས་ གསོ་རིག་ ཆེད་ལས་ ཨུ་ཡོན་ལྷན་ཁང་ དང་ དེ་བཞིན་ དེ འི་ ཁོངས་གཏོགས་ ཀྱི་ ཚད་གཞི་ ཞིབ་བཤེར་ གཏན་འབེབས་ ཨུ་ལྷན་ གཉིས་ མཚོ་སྔོན་ ཟི་ལིང་ དུ་ སྔ་རྗེས་ སུ་ བཙུགས་ པ་ རེད།
文化,ཡུལ་སྐད་ དང་ ཡུལ་སྐད་ རིག་པ འི་ གོ་དོན་ དང་ དབྱེ་བ།ཡུལ་ སྐད་ ཅེས་ པ་ ནི་ སྐད་རིགས་ ཤིག་ ཡུལ་ལུང་ མི་འདྲ་ བ འི་ ངོས་ ནས་ བརྗོད་ ཅིང་ ། ཕན་ཚུན་ བར་ ཁྱད་པར་ ངེས་ཅན་ ཡོད་ པ འི་ ས་གནས་ རང་བཞིན་ གྱི་ སྐད་ཆ ར་ ཟེར། སྐད་རིགས་ ཤིག་ གི་ ཡུལ་སྐད་ ཁག་ ལ་ ཞིབ་འཇུག་བྱེད་ པ འི་ རིག་ཚན་ ལ་ ཡུལ་སྐད་ རིག་པ་ ཅེས་ འབོད་ དེ། དཔེར་ན། བོད་ ཀྱི་ ཡུལ་སྐད་ རིག་པ་ ཞེས་ པ་ ནི་ སྟོད་མངའ་རིས་ སྐོར་ གསུམ་ དང་ ། བར་ དབུས་གཙང་ རུ་བཞི། སྨད་མདོ་ཁམས་སྒང་དྲུག་ གི་ ཡུལ་ལུང་ སོ་སོ འི་ སྐད་ ལ་ ཞིབ་འཇུག་བྱེད་ པ འི་ རིག་ཚན་ ལ་ ཟེར།
文化,བོད་ ཀྱི་ ཡུལ་སྐད་ ཀྱི་ རྣམ་གྲངས།
文化,བོད་ ལ་ ཡུལ་སྐད་ རྣམ་གྲངས་ དུ་ ཡོད་ པ འི་ སྐོར་ ལ་ ད་ཕན་ འདོད་ཚུལ་ གཅིག་མཐུན་ བྱུང་ མེད་ ཅིང་ །ཁ་ ཅིག་ གིས་ གསུམ་ ཡོད་ པ ར་ འདོད་ པ་ དང་ །ཁ་ ཅིག་ གིས་ ལྔ་ ཡོད་ པ ར་ འདོད་པ། ཡང་ ཁ་ཅིག་ གིས་ ཉི་ཤུ་ ལྷག་ ཡོད་ པ་ འདོད་ པ་ སོགས་ ཡོད། དེ་ ལས་རིགས་ གསུམ་ ཡོད་ པ ར་ འདོད་ པ འི་ ཡུལ་སྐད་ ཆེན་པོ་ གསུམ་ ནི་ མདོ་དབུས་ཁམས་གསུམ་ གྱི་ ཡུལ་སྐད་ ཡིན།
文化,དང་པོ་ དབུས་གཙང་ གི་ ཡུལ་སྐད་ ལ་ ལྷ་ས་ དང་ །འཕན་ པོ། སྟོད་ལུང་ ། མལ་གྲོ་གུང་དཀར། ཆུ་ཤུར། ལྷ་རྒྱ་ རི།རྩེད་ཐང་ ། གོང་དཀར་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ དབུས་ ཀྱི་ ཡུལ་སྐད་ དང་ །གཞིས་ ཀ་རྩེ་ དང་ ། རྒྱལ་རྩེ། དིང་རི། ས་སྐྱ། གྲོ་མོ་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ གཙང་ གི་ ཡུལ་སྐད་ རིགས་ ཆེ་བ་ གཉིས་ ཡོད།
